order_id,date,customer,product,quantity,price,region,revenue
1,4/13/2025,Customer_402,Soap - Mint,2,6.81,Northeast,13.62
2,12/15/2025,Customer_2654,Bath Bomb,6,10.49,Midwest,62.94
3,9/28/2025,Customer_1516,Shampoo,1,13.1,Midwest,13.1
4,4/17/2025,Customer_2032,Soap - Citrus,7,21.64,Northeast,151.48000000000002
5,3/13/2025,Customer_229,Soap - Citrus,2,28.35,Midwest,56.7
6,7/8/2025,Customer_1599,Soap - Mint,3,17.89,South,53.67
7,1/21/2025,Customer_2585,Scrub,5,10.65,South,53.25
8,4/13/2025,Customer_268,Body Oil,4,42.61,Northeast,170.44
9,5/2/2025,Customer_1429,Face Cleanser,4,25.59,West,102.36
10,8/3/2025,Customer_1817,Soap - Mint,2,34.68,South,69.36
11,11/27/2025,Customer_1035,Bath Bomb,3,32.78,Unknown,98.34
12,3/29/2025,Customer_1344,Soap - Lavender,5,16.4,West,82.0
13,4/10/2025,Customer_126,Soap - Lavender,1,27.39,West,27.39
14,12/26/2025,Customer_2354,Bath Bomb,3,29.09,Midwest,87.27
15,6/1/2025,Customer_1726,Body Oil,3,19.07,Midwest,57.21
16,5/11/2025,Customer_1113,Soap - Citrus,2,31.83,Northeast,63.66
17,5/30/2025,Customer_2676,Shampoo,2,36.63,Midwest,73.26
18,11/5/2025,Customer_1376,Scrub,5,19.57,West,97.85
19,9/15/2025,Customer_689,Body Oil,4,5.6,West,22.4
20,12/10/2025,Customer_1281,Shampoo,5,18.97,Midwest,94.85
21,10/21/2025,Customer_1233,Scrub,3,9.67,Midwest,29.009999999999998
22,7/11/2025,Customer_281,Lotion,4,25.04,West,100.16
23,10/4/2025,Customer_443,Bath Bomb,3,19.64,Northeast,58.92
24,6/10/2025,Customer_1864,Conditioner,4,13.3,West,53.2
25,11/10/2025,Customer_837,Soap - Citrus,4,42.4,Northeast,169.6
26,1/22/2025,Customer_389,Face Cleanser,1,31.11,South,31.11
27,9/10/2025,Customer_617,Soap - Mint,2,25.73,West,51.46
28,8/24/2025,Customer_147,Soap - Citrus,4,5.39,Midwest,21.56
29,12/11/2025,Customer_521,Bath Bomb,3,9.14,Midwest,27.42
30,2/18/2025,Customer_630,Soap - Citrus,2,36.54,West,73.08
31,2/28/2025,Customer_2482,Shampoo,2,20.59,Northeast,41.18
32,6/19/2025,Customer_2192,Bath Bomb,2,6.82,Midwest,13.64
33,7/7/2025,Customer_289,Face Cleanser,3,38.02,South,114.06
34,9/28/2025,Customer_1410,Soap - Citrus,4,17.11,Midwest,68.44
35,7/9/2025,Customer_14,Soap - Citrus,2,20.45,Northeast,40.9
36,6/24/2025,Customer_257,Face Cleanser,1,43.97,West,43.97
37,2/20/2025,Customer_1722,Scrub,2,5.62,Midwest,11.24
38,12/30/2025,Customer_1424,Soap - Citrus,2,33.85,West,67.7
39,2/24/2025,Customer_1231,Soap - Mint,2,42.96,West,85.92
40,9/1/2025,Customer_858,Unknown,3,7.55,South,22.65
41,11/16/2025,Customer_2991,Soap - Lavender,2,25.04,South,50.08
42,5/11/2025,Customer_1196,Lotion,4,21.65,West,86.6
43,11/3/2025,Customer_464,Face Cleanser,1,40.12,Northeast,40.12
44,5/15/2025,Customer_270,Bath Bomb,8,17.33,South,138.64
45,1/21/2025,Customer_1245,Body Oil,3,44.31,Midwest,132.93
46,11/25/2025,Customer_2671,Soap - Mint,2,30.88,South,61.76
47,6/16/2025,Customer_1207,Body Oil,4,30.08,West,120.32
48,10/1/2025,Customer_72,Lotion,2,37.24,South,74.48
49,3/30/2025,Customer_1307,Conditioner,3,22.46,Northeast,67.38
50,11/12/2025,Customer_2122,Shampoo,1,15.35,South,15.35
51,1/14/2025,Customer_2403,Conditioner,4,15.52,Northeast,62.08
52,8/30/2025,Customer_1751,Soap - Mint,3,18.22,Midwest,54.66
53,9/22/2025,Customer_497,Shampoo,5,29.69,South,148.45000000000002
54,12/12/2025,Customer_988,Bath Bomb,1,38.54,Midwest,38.54
55,2/22/2025,Customer_2628,Conditioner,4,24.98,West,99.92
56,12/6/2025,Customer_910,Body Oil,2,21.14,Midwest,42.28
57,4/2/2025,Customer_373,Shampoo,3,36.75,South,110.25
58,9/21/2025,Customer_362,Lotion,2,16.59,South,33.18
59,2/4/2025,Customer_2141,Bath Bomb,3,32.56,Northeast,97.68
60,7/25/2025,Customer_1345,Soap - Lavender,4,9.23,South,36.92
61,3/22/2025,Customer_324,Face Cleanser,4,9.53,West,38.12
62,2/19/2025,Customer_2432,Body Oil,5,30.76,Northeast,153.8
63,12/26/2025,Customer_575,Shampoo,2,8.31,South,16.62
64,1/2/2025,Customer_736,Scrub,3,11.2,South,33.599999999999994
65,2/23/2025,Customer_2785,Bath Bomb,3,29.97,South,89.91
66,4/16/2025,Customer_2394,Bath Bomb,3,22.53,South,67.59
67,9/17/2025,Customer_1216,Shampoo,2,27.45,West,54.9
68,11/6/2025,Customer_1696,Soap - Citrus,4,44.08,South,176.32
69,7/10/2025,Customer_1908,Soap - Mint,3,30.28,Northeast,90.84
70,8/6/2025,Customer_719,Scrub,4,28.63,South,114.52
71,2/13/2025,Customer_781,Shampoo,2,20.21,Northeast,40.42
72,6/11/2025,Customer_1020,Soap - Lavender,1,30.24,Northeast,30.24
73,7/21/2025,Customer_1404,Soap - Citrus,2,5.52,South,11.04
74,9/27/2025,Customer_1427,Shampoo,1,27.29,West,27.29
75,12/17/2025,Customer_664,Conditioner,4,7.76,South,31.04
76,10/31/2025,Customer_1773,Lotion,4,13.81,South,55.24
77,9/28/2025,Customer_2648,Soap - Mint,2,27.52,Northeast,55.04
78,8/3/2025,Customer_11,Scrub,2,31.72,Midwest,63.44
79,9/9/2025,Customer_2235,Face Cleanser,2,20.39,Midwest,40.78
80,7/9/2025,Customer_2774,Shampoo,2,21.76,West,43.52
81,10/23/2025,Customer_1039,Face Cleanser,3,24.92,Northeast,74.76
