number,opened_at,priority,state,assignment_group,assignee,cmdb_ci_class,short_description,ttc_hours,closed_at,sla_breach
INC100000,2025-04-13,4 - Low,Closed,Network,user516,cmdb_ci_network,Password reset requested,11.356788872604325,2025-04-13 11:21:24.439941375,0
INC100001,2025-09-28,3 - Moderate,Closed,Network,user574,cmdb_ci_server,VPN unstable,10.612831391130785,,0
INC100002,2025-04-17,2 - High,In Progress,App Dev,user530,cmdb_ci_app,Email down,12.839149038138585,2025-04-17 12:50:20.936537298,1
INC100003,2025-03-13,1 - Critical,Closed,App Dev,user444,cmdb_ci_network,User cannot access ServiceNow,9.43147266314912,2025-03-13 09:25:53.301587336,0
INC100004,2025-07-08,2 - High,Resolved,IT Support,user320,cmdb_ci_server,VPN unstable,1.4769382875417805,2025-07-08 01:28:36.977835150,0
INC100005,2025-01-21,3 - Moderate,Resolved,Network,user404,cmdb_ci_db_instance,Email down,5.5178531073862045,2025-01-21 05:31:04.271186590,0
INC100006,2025-04-13,2 - High,Closed,Network,user292,cmdb_ci_app,User cannot access ServiceNow,3.222421441173104,2025-04-13 03:13:20.717188223,0
INC100007,2025-05-02,3 - Moderate,In Progress,IT Support,user304,cmdb_ci_network,Application error 500,3.475737013806344,2025-05-02 03:28:32.653249702,0
INC100008,2025-08-03,3 - Moderate,Resolved,Security,user245,cmdb_ci_server,VPN unstable,3.370370690549072,,0
INC100009,2025-03-29,3 - Moderate,Resolved,HR Tech,user569,cmdb_ci_network,Password reset requested,10.671912480229622,2025-03-29 10:40:18.884928826,0
INC100010,2025-04-10,3 - Moderate,Closed,HR Tech,user569,cmdb_ci_db_instance,Application error 500,13.497425919823687,2025-04-10 13:29:50.733311365,0
INC100011,2025-06-01,3 - Moderate,Resolved,Security,user244,cmdb_ci_db_instance,User cannot access ServiceNow,4.012885880756849,2025-06-01 04:00:46.389170724,0
INC100012,2025-05-11,3 - Moderate,New,IT Support,user425,cmdb_ci_server,Application error 500,1.088533073421002,2025-05-11 01:05:18.719064315,0
INC100013,2025-05-30,4 - Low,In Progress,Security,user088,cmdb_ci_db_instance,User cannot access ServiceNow,25.38279472069324,,1
INC100014,2025-09-15,3 - Moderate,Closed,HR Tech,user062,cmdb_ci_db_instance,Network latency issues,8.364415337217446,,0
INC100015,2025-10-21,3 - Moderate,In Progress,Security,user413,cmdb_ci_server,Password reset requested,12.902271378587027,,0
INC100016,2025-07-11,4 - Low,On Hold,Network,user551,cmdb_ci_network,Password reset requested,6.448536962996132,2025-07-11 06:26:54.733066786,0
INC100017,2025-10-04,3 - Moderate,In Progress,App Dev,user594,cmdb_ci_network,Application error 500,0.8350720383533011,,0
INC100018,2025-06-10,4 - Low,New,Network,user010,cmdb_ci_db_instance,Password reset requested,9.962873603805816,2025-06-10 09:57:46.344973700,0
INC100019,2025-01-22,3 - Moderate,In Progress,HR Tech,user445,cmdb_ci_app,Laptop will not boot,20.607239817044864,2025-01-22 20:36:26.063341361,0
INC100020,2025-09-10,3 - Moderate,In Progress,App Dev,user056,cmdb_ci_app,User cannot access ServiceNow,4.528862244520038,2025-09-10 04:31:43.904080272,0
INC100021,2025-08-24,3 - Moderate,On Hold,App Dev,user265,cmdb_ci_server,User cannot access ServiceNow,0.7218721551804026,2025-08-24 00:43:18.739758649,0
INC100022,2025-02-18,3 - Moderate,Closed,Security,user268,cmdb_ci_db_instance,User cannot access ServiceNow,2.729188789867885,2025-02-18 02:43:45.079643524,0
INC100023,2025-02-28,2 - High,On Hold,Network,user386,cmdb_ci_server,Application error 500,13.319155148493904,2025-02-28 13:19:08.958534578,1
INC100024,2025-06-19,4 - Low,Resolved,Security,user474,cmdb_ci_db_instance,Slow database performance,9.38122771186644,2025-06-19 09:22:52.419762719,0
INC100025,2025-07-07,3 - Moderate,In Progress,HR Tech,user585,cmdb_ci_db_instance,Network latency issues,16.14973725387633,2025-07-07 16:08:59.054113954,0
INC100026,2025-09-28,3 - Moderate,Closed,App Dev,user017,cmdb_ci_server,Email down,7.514798916680879,2025-09-28 07:30:53.276100051,0
INC100027,2025-07-09,3 - Moderate,Resolved,Security,user035,cmdb_ci_app,Laptop will not boot,11.866614864863273,,0
INC100028,2025-06-24,3 - Moderate,New,App Dev,user463,cmdb_ci_db_instance,Slow database performance,5.393240107137365,2025-06-24 05:23:35.664385694,0
INC100029,2025-02-20,3 - Moderate,On Hold,Network,user200,cmdb_ci_network,Email down,2.927302220884348,2025-02-20 02:55:38.287995183,0
INC100030,2025-02-24,3 - Moderate,Closed,HR Tech,user290,cmdb_ci_db_instance,Email down,11.888780000342004,,0
INC100031,2025-09-01,2 - High,Resolved,Network,user011,cmdb_ci_app,Slow database performance,13.463595517920512,2025-09-01 13:27:48.943864513,1
INC100032,2025-05-11,1 - Critical,Closed,Security,user010,cmdb_ci_network,Network latency issues,4.61536476238308,2025-05-11 04:36:55.313144579,0
INC100033,2025-05-15,4 - Low,In Progress,Security,user082,cmdb_ci_network,Network latency issues,19.43211988858502,2025-05-15 19:25:55.631598906,0
INC100034,2025-01-21,4 - Low,Canceled,IT Support,user338,cmdb_ci_network,Email down,19.778019262619985,2025-01-21 19:46:40.869345431,0
INC100035,2025-06-16,2 - High,In Progress,Network,user475,cmdb_ci_app,Email down,3.388622133626221,,0
INC100036,2025-10-01,3 - Moderate,New,HR Tech,user179,cmdb_ci_network,Laptop will not boot,3.526155490676464,2025-10-01 03:31:34.159766435,0
INC100037,2025-03-30,2 - High,On Hold,App Dev,user595,cmdb_ci_db_instance,Laptop will not boot,3.6703318172953767,2025-03-30 03:40:13.194542263,0
INC100038,2025-01-14,4 - Low,In Progress,IT Support,user353,cmdb_ci_db_instance,Application error 500,6.796288660754486,2025-01-14 06:47:46.639178716,0
INC100039,2025-08-30,2 - High,Resolved,HR Tech,user089,cmdb_ci_db_instance,Email down,5.596200527626043,2025-08-30 05:35:46.321899453,0
INC100040,2025-09-22,2 - High,Closed,Network,user187,cmdb_ci_app,User cannot access ServiceNow,2.364966463384768,2025-09-22 02:21:53.879268185,0
INC100041,2025-02-22,2 - High,Closed,App Dev,user514,cmdb_ci_db_instance,Network latency issues,3.7615330937895424,,0
INC100042,2025-04-02,3 - Moderate,Resolved,HR Tech,user133,cmdb_ci_db_instance,Network latency issues,0.8569582703782619,2025-04-02 00:51:25.049773361,0
INC100043,2025-09-21,4 - Low,Resolved,IT Support,user504,cmdb_ci_db_instance,Password reset requested,1.054132521854197,2025-09-21 01:03:14.877078675,0
INC100044,2025-02-04,3 - Moderate,Canceled,App Dev,user492,cmdb_ci_app,Network latency issues,1.944866965128079,2025-02-04 01:56:41.521074461,0
INC100045,2025-07-25,2 - High,Resolved,Network,user325,cmdb_ci_network,User cannot access ServiceNow,24.50131999402312,2025-07-26 00:30:04.751978483,1
INC100046,2025-03-22,3 - Moderate,Closed,App Dev,user442,cmdb_ci_db_instance,Email down,22.642007039199104,2025-03-22 22:38:31.225341116,0
INC100047,2025-02-19,2 - High,Closed,Network,user107,cmdb_ci_app,Network latency issues,12.355706080274867,2025-02-19 12:21:20.541888989,1
INC100048,2025-01-02,1 - Critical,In Progress,Security,user562,cmdb_ci_network,VPN unstable,4.654267617355302,2025-01-02 04:39:15.363422479,0
INC100049,2025-02-23,4 - Low,New,Security,user169,cmdb_ci_network,Application error 500,1.912955430927596,2025-02-23 01:54:46.639551339,0
INC100050,2025-04-16,4 - Low,In Progress,Network,user324,cmdb_ci_server,Application error 500,7.39965661167289,2025-04-16 07:23:58.763802022,0
INC100051,2025-09-17,4 - Low,Closed,HR Tech,user509,cmdb_ci_db_instance,Network latency issues,10.154188641042785,,0
INC100052,2025-07-10,3 - Moderate,Closed,IT Support,user146,cmdb_ci_network,Email down,4.0694800020468165,2025-07-10 04:04:10.128007368,0
INC100053,2025-08-06,2 - High,Resolved,Security,user095,cmdb_ci_server,VPN unstable,9.780874187168106,2025-08-06 09:46:51.147073805,0
INC100054,2025-02-13,4 - Low,In Progress,HR Tech,user409,cmdb_ci_network,User cannot access ServiceNow,2.7056014990096977,2025-02-13 02:42:20.165396434,0
INC100055,2025-06-11,2 - High,In Progress,App Dev,user396,cmdb_ci_app,Laptop will not boot,4.731922611357785,,0
INC100056,2025-07-21,2 - High,Closed,Security,user596,cmdb_ci_db_instance,VPN unstable,6.143535097473756,2025-07-21 06:08:36.726350905,0
INC100057,2025-09-27,2 - High,In Progress,HR Tech,user067,cmdb_ci_network,Application error 500,23.070347880064816,2025-09-27 23:04:13.252368233,1
INC100058,2025-09-28,4 - Low,Resolved,IT Support,user572,cmdb_ci_app,Slow database performance,3.715089418943453,,0
INC100059,2025-08-03,3 - Moderate,Closed,App Dev,user218,cmdb_ci_app,Network latency issues,10.119412291837104,2025-08-03 10:07:09.884250613,0
INC100060,2025-09-09,2 - High,Closed,Security,user212,cmdb_ci_db_instance,VPN unstable,3.246581023469926,,0
INC100061,2025-07-09,2 - High,Resolved,Security,user421,cmdb_ci_network,Email down,2.8648075803853272,2025-07-09 02:51:53.307289387,0
INC100062,2025-10-23,4 - Low,On Hold,IT Support,user160,cmdb_ci_db_instance,Network latency issues,4.054414837175271,2025-10-23 04:03:15.893413830,0
INC100063,2025-08-01,4 - Low,Resolved,Network,user483,cmdb_ci_app,Laptop will not boot,7.589418109893718,,0
INC100064,2025-07-27,3 - Moderate,In Progress,Security,user341,cmdb_ci_server,Password reset requested,21.07279559632749,2025-07-27 21:04:22.064146778,0
INC100065,2025-08-25,2 - High,Resolved,Network,user180,cmdb_ci_network,User cannot access ServiceNow,4.572277933504117,2025-08-25 04:34:20.200560614,0
INC100066,2025-02-22,3 - Moderate,New,IT Support,user565,cmdb_ci_network,Slow database performance,13.532156882431876,2025-02-22 13:31:55.764776754,0
INC100067,2025-10-07,3 - Moderate,Closed,IT Support,user254,cmdb_ci_db_instance,Email down,23.800007300955283,2025-10-07 23:48:00.026283439,0
INC100068,2025-08-05,4 - Low,Canceled,HR Tech,user184,cmdb_ci_network,Email down,8.959550049175487,2025-08-05 08:57:34.380177031,0
INC100069,2025-09-09,2 - High,Closed,Security,user386,cmdb_ci_app,Laptop will not boot,15.190183467354023,,1
INC100070,2025-07-07,3 - Moderate,In Progress,App Dev,user243,cmdb_ci_network,Slow database performance,3.871278180672392,2025-07-07 03:52:16.601450420,0
INC100071,2025-02-10,2 - High,Resolved,App Dev,user528,cmdb_ci_db_instance,Network latency issues,9.9327575683346,2025-02-10 09:55:57.927246004,0
INC100072,2025-06-06,3 - Moderate,In Progress,IT Support,user138,cmdb_ci_db_instance,Laptop will not boot,11.734461424467693,2025-06-06 11:44:04.061128083,0
INC100073,2025-01-15,2 - High,In Progress,App Dev,user348,cmdb_ci_app,User cannot access ServiceNow,2.258831773110177,2025-01-15 02:15:31.794383196,0
INC100074,2025-03-06,4 - Low,On Hold,App Dev,user593,cmdb_ci_app,User cannot access ServiceNow,3.5530787638933643,2025-03-06 03:33:11.083550016,0
INC100075,2025-01-09,2 - High,Resolved,App Dev,user126,cmdb_ci_server,Password reset requested,5.940350387078553,,0
INC100076,2025-05-09,3 - Moderate,New,HR Tech,user345,cmdb_ci_db_instance,Slow database performance,4.149381439561061,,0
INC100077,2025-05-16,3 - Moderate,In Progress,HR Tech,user207,cmdb_ci_server,User cannot access ServiceNow,6.480598869541138,2025-05-16 06:28:50.155930348,0
INC100078,2025-03-04,4 - Low,Resolved,IT Support,user402,cmdb_ci_server,Application error 500,1.9557716933168976,2025-03-04 01:57:20.778095940,0
INC100079,2025-05-19,4 - Low,In Progress,App Dev,user258,cmdb_ci_network,Email down,22.319279368879737,,0
INC100080,2025-03-22,1 - Critical,New,IT Support,user128,cmdb_ci_server,Application error 500,14.465340493261486,2025-03-22 14:27:55.225775741,1
INC100081,2025-06-12,1 - Critical,Resolved,IT Support,user296,cmdb_ci_server,Application error 500,48.12456265415911,2025-06-14 00:07:28.425554972,1
INC100082,2025-10-16,3 - Moderate,Resolved,IT Support,user554,cmdb_ci_server,User cannot access ServiceNow,2.5214995168935013,2025-10-16 02:31:17.398260816,0
INC100083,2025-09-18,3 - Moderate,Resolved,HR Tech,user223,cmdb_ci_server,Application error 500,10.20465287342306,2025-09-18 10:12:16.750344323,0
INC100084,2025-08-19,2 - High,In Progress,HR Tech,user528,cmdb_ci_server,Password reset requested,4.181777716808417,2025-08-19 04:10:54.399780510,0
INC100085,2025-02-10,4 - Low,In Progress,Security,user170,cmdb_ci_app,Laptop will not boot,2.8497220033424027,2025-02-10 02:50:58.999212032,0
INC100086,2025-01-28,2 - High,In Progress,App Dev,user361,cmdb_ci_server,Email down,13.928301637834467,2025-01-28 13:55:41.885896204,1
INC100087,2025-05-15,4 - Low,New,Network,user549,cmdb_ci_app,Application error 500,7.771311742125393,2025-05-15 07:46:16.722271651,0
INC100088,2025-07-20,1 - Critical,In Progress,HR Tech,user134,cmdb_ci_app,User cannot access ServiceNow,5.6342984065825386,2025-07-20 05:38:03.474263697,0
INC100089,2025-09-25,2 - High,Closed,Network,user462,cmdb_ci_network,Application error 500,9.151050854191167,2025-09-25 09:09:03.783075088,0
INC100090,2025-02-02,3 - Moderate,New,App Dev,user406,cmdb_ci_app,Application error 500,3.685214534833816,2025-02-02 03:41:06.772325401,0
INC100091,2025-02-17,3 - Moderate,New,App Dev,user370,cmdb_ci_app,VPN unstable,3.580567068607333,2025-02-17 03:34:50.041446986,0
INC100092,2025-03-03,2 - High,In Progress,HR Tech,user174,cmdb_ci_app,Email down,4.308063966789224,2025-03-03 04:18:29.030280441,0
INC100093,2025-08-04,3 - Moderate,In Progress,Network,user296,cmdb_ci_db_instance,Application error 500,15.799890866143617,2025-08-04 15:47:59.607118117,0
INC100094,2025-10-20,3 - Moderate,In Progress,IT Support,user310,cmdb_ci_app,Password reset requested,14.963135490131275,2025-10-20 14:57:47.287764472,0
INC100095,2025-04-09,1 - Critical,In Progress,IT Support,user046,cmdb_ci_db_instance,Network latency issues,2.413072748517928,,0
INC100096,2025-06-21,4 - Low,In Progress,HR Tech,user420,cmdb_ci_db_instance,VPN unstable,21.70526111021818,2025-06-21 21:42:18.939996785,0
INC100097,2025-08-02,4 - Low,Closed,Network,user297,cmdb_ci_network,VPN unstable,7.295737878130723,2025-08-02 07:17:44.656361270,0
INC100098,2025-02-04,3 - Moderate,Closed,HR Tech,user171,cmdb_ci_app,User cannot access ServiceNow,10.08749370948734,2025-02-04 10:05:14.977354154,0
INC100099,2025-08-15,4 - Low,Closed,IT Support,user317,cmdb_ci_app,Laptop will not boot,4.193039283468179,2025-08-15 04:11:34.941420485,0
INC100100,2025-04-11,2 - High,In Progress,App Dev,user273,cmdb_ci_app,Slow database performance,7.582533608911246,2025-04-11 07:34:57.120992080,0
INC100101,2025-05-11,2 - High,In Progress,HR Tech,user515,cmdb_ci_network,Password reset requested,2.834187442741707,2025-05-11 02:50:03.074793870,0
INC100102,2025-09-14,3 - Moderate,Resolved,IT Support,user078,cmdb_ci_db_instance,Slow database performance,3.955249876016979,2025-09-14 03:57:18.899553661,0
INC100103,2025-01-05,4 - Low,In Progress,App Dev,user203,cmdb_ci_db_instance,VPN unstable,13.1671092673584,2025-01-05 13:10:01.593362490,0
INC100104,2025-08-06,3 - Moderate,Resolved,HR Tech,user030,cmdb_ci_network,Slow database performance,13.373977456963525,,0
INC100105,2025-09-12,1 - Critical,Resolved,HR Tech,user021,cmdb_ci_server,Laptop will not boot,10.413229074813952,2025-09-12 10:24:47.624669330,0
INC100106,2025-10-10,3 - Moderate,On Hold,IT Support,user144,cmdb_ci_app,Slow database performance,5.356209828128332,2025-10-10 05:21:22.355381261,0
INC100107,2025-07-26,1 - Critical,In Progress,IT Support,user572,cmdb_ci_server,User cannot access ServiceNow,2.374393982082452,2025-07-26 02:22:27.818335496,0
INC100108,2025-01-15,2 - High,In Progress,App Dev,user393,cmdb_ci_db_instance,User cannot access ServiceNow,17.0626608530428,2025-01-15 17:03:45.579070954,1
INC100109,2025-02-11,3 - Moderate,Closed,Security,user578,cmdb_ci_db_instance,Slow database performance,14.040380967416832,2025-02-11 14:02:25.371482700,0
INC100110,2025-06-28,3 - Moderate,Resolved,App Dev,user362,cmdb_ci_db_instance,Application error 500,1.2520999819601517,2025-06-28 01:15:07.559935056,0
INC100111,2025-03-04,1 - Critical,Resolved,HR Tech,user323,cmdb_ci_server,VPN unstable,13.5289533093786,,1
INC100112,2025-08-19,2 - High,In Progress,HR Tech,user271,cmdb_ci_server,Slow database performance,5.631668910623595,2025-08-19 05:37:54.008078244,0
INC100113,2025-08-29,3 - Moderate,Closed,HR Tech,user531,cmdb_ci_app,Laptop will not boot,12.001708260474327,2025-08-29 12:00:06.149737707,0
INC100114,2025-02-21,3 - Moderate,Closed,IT Support,user526,cmdb_ci_server,Password reset requested,1.981134548365018,2025-02-21 01:58:52.084374114,0
INC100115,2025-04-06,3 - Moderate,Resolved,HR Tech,user143,cmdb_ci_network,User cannot access ServiceNow,4.376921892737522,2025-04-06 04:22:36.918813855,0
INC100116,2025-08-10,3 - Moderate,In Progress,HR Tech,user599,cmdb_ci_network,Application error 500,7.995269179241143,2025-08-10 07:59:42.969045268,0
INC100117,2025-08-19,2 - High,Closed,App Dev,user267,cmdb_ci_app,VPN unstable,22.325116621323925,2025-08-19 22:19:30.419836766,1
INC100118,2025-08-25,2 - High,Resolved,IT Support,user063,cmdb_ci_app,VPN unstable,8.01031207340716,2025-08-25 08:00:37.123464265,0
INC100119,2025-05-23,4 - Low,Closed,App Dev,user195,cmdb_ci_server,Network latency issues,15.38300187133418,2025-05-23 15:22:58.806736803,0
INC100120,2025-06-20,3 - Moderate,Resolved,Security,user132,cmdb_ci_server,Email down,8.80825281918993,2025-06-20 08:48:29.710149083,0
INC100121,2025-01-29,3 - Moderate,Resolved,App Dev,user025,cmdb_ci_app,VPN unstable,8.584314927558815,2025-01-29 08:35:03.533739211,0
INC100122,2025-02-05,4 - Low,Resolved,App Dev,user074,cmdb_ci_server,Slow database performance,10.806023615460232,2025-02-05 10:48:21.685015656,0
INC100123,2025-01-13,3 - Moderate,New,Security,user210,cmdb_ci_app,Email down,7.151874179517522,2025-01-13 07:09:06.747046263,0
INC100124,2025-06-09,1 - Critical,On Hold,App Dev,user225,cmdb_ci_db_instance,VPN unstable,12.95478236250234,,1
INC100125,2025-07-06,4 - Low,New,HR Tech,user565,cmdb_ci_db_instance,Application error 500,3.02462734295882,2025-07-06 03:01:28.658434651,0
INC100126,2025-08-31,1 - Critical,In Progress,HR Tech,user419,cmdb_ci_app,VPN unstable,7.188513698787992,2025-08-31 07:11:18.649315636,0
INC100127,2025-03-27,3 - Moderate,Resolved,Network,user409,cmdb_ci_db_instance,Laptop will not boot,23.54813901391667,2025-03-27 23:32:53.300450100,0
INC100128,2025-10-11,3 - Moderate,In Progress,IT Support,user131,cmdb_ci_server,Laptop will not boot,15.80605377869992,2025-10-11 15:48:21.793603319,0
INC100129,2025-03-07,3 - Moderate,New,HR Tech,user178,cmdb_ci_network,User cannot access ServiceNow,9.36190371476419,2025-03-07 09:21:42.853373151,0
INC100130,2025-06-19,3 - Moderate,In Progress,IT Support,user525,cmdb_ci_app,Network latency issues,14.392393322744404,2025-06-19 14:23:32.615961879,0
